achievement,達成,名詞
analyze,分析する,動詞
brilliant,素晴らしい,形容詞
accurately,正確に,副詞
architecture,建築,名詞
communicate,伝える,動詞
complex,複雑な,形容詞
briefly,簡潔に,副詞
biology,生物学,名詞
demonstrate,実証する,動詞
efficient,効率的な,形容詞
constantly,絶えず,副詞
chemistry,化学,名詞
evaluate,評価する,動詞
frequent,頻繁な,形容詞
eventually,最終的に,副詞
economics,経済学,名詞
explore,探検する,動詞
generous,寛大な,形容詞
gradually,徐々に,副詞
geography,地理,名詞
identify,識別する,動詞
logical,論理的な,形容詞
immediately,直ちに,副詞
history,歴史,名詞
illustrate,説明する,動詞
massive,巨大な,形容詞
instantly,即座に,副詞
literature,文学,名詞
investigate,調査する,動詞
numerous,多数の,形容詞
naturally,自然に,副詞
mathematics,数学,名詞
maintain,維持する,動詞
obvious,明らかな,形容詞
occasionally,時折,副詞
philosophy,哲学,名詞
observe,観察する,動詞
precise,正確な,形容詞
particularly,特に,副詞
physics,物理学,名詞
participate,参加する,動詞
significant,重要な,形容詞
primarily,主に,副詞
psychology,心理学,名詞
predict,予測する,動詞
sufficient,十分な,形容詞
relatively,比較的,副詞
sociology,社会学,名詞
recommend,推薦する,動詞
typical,典型的な,形容詞
similarly,同様に,副詞
technology,技術,名詞
require,必要とする,動詞
unique,独特の,形容詞
specifically,具体的に,副詞
theory,理論,名詞
solve,解決する,動詞
various,様々な,形容詞
ultimately,最終的に,副詞
universe,宇宙,名詞
achieve,達成する,動詞
valuable,価値のある,形容詞
unexpectedly,予期せず,副詞
environment,環境,名詞
adapt,適応する,動詞
visible,目に見える,形容詞
unfortunately,残念ながら,副詞
government,政府,名詞
assume,仮定する,動詞
vital,不可欠な,形容詞
essentially,本質的に,副詞
industry,産業,名詞
attempt,試みる,動詞
accurate,正確な,形容詞
frequently,頻繁に,副詞
population,人口,名詞
conclude,結論づける,動詞
adequate,適切な,形容詞
occasionally,時折,副詞
society,社会,名詞
contribute,貢献する,動詞
apparent,明白な,形容詞
gradually,徐々に,副詞
technology,技術,名詞
determine,決定する,動詞
consistent,一貫した,形容詞
immediately,直ちに,副詞
tradition,伝統,名詞
develop,発展する,動詞
efficient,効率的な,形容詞
naturally,自然に,副詞
university,大学,名詞
enhance,向上させる,動詞
significant,重要な,形容詞
particularly,特に,副詞
community,コミュニティ,名詞
establish,設立する,動詞
logical,論理的な,形容詞
primarily,主に,副詞
environment,環境,名詞
expand,拡大する,動詞
massive,巨大な,形容詞
relatively,比較的,副詞
government,政府,名詞
implement,実行する,動詞
numerous,多数の,形容詞
specifically,具体的に,副詞
industry,産業,名詞
improve,改善する,動詞
obvious,明らかな,形容詞
ultimately,最終的に,副詞
population,人口,名詞
investigate,調査する,動詞
precise,正確な,形容詞
unexpectedly,予期せず,副詞
society,社会,名詞
maintain,維持する,動詞
sufficient,十分な,形容詞
essentially,本質的に,副詞
tradition,伝統,名詞
observe,観察する,動詞
unique,独特の,形容詞
frequently,頻繁に,副詞
university,大学,名詞
participate,参加する,動詞
valuable,価値のある,形容詞
gradually,徐々に,副詞
community,コミュニティ,名詞
predict,予測する,動詞
visible,目に見える,形容詞
immediately,直ちに,副詞
environment,環境,名詞
recommend,推薦する,動詞
vital,不可欠な,形容詞
naturally,自然に,副詞
government,政府,名詞
require,必要とする,動詞
adequate,適切な,形容詞
particularly,特に,副詞
industry,産業,名詞
solve,解決する,動詞
apparent,明白な,形容詞
relatively,比較的,副詞
population,人口,名詞
achieve,達成する,動詞
consistent,一貫した,形容詞
ultimately,最終的に,副詞
society,社会,名詞
analyze,分析する,動詞
efficient,効率的な,形容詞
essentially,本質的に,副詞
tradition,伝統,名詞
assume,仮定する,動詞
logical,論理的な,形容詞
frequently,頻繁に,副詞
university,大学,名詞
communicate,伝える,動詞
massive,巨大な,形容詞
gradually,徐々に,副詞
community,コミュニティ,名詞
conclude,結論づける,動詞
numerous,多数の,形容詞
immediately,直ちに,副詞
environment,環境,名詞
contribute,貢献する,動詞
obvious,明らかな,形容詞
naturally,自然に,副詞
government,政府,名詞
determine,決定する,動詞
precise,正確な,形容詞
particularly,特に,副詞
industry,産業,名詞
develop,発展する,動詞
significant,重要な,形容詞
relatively,比較的,副詞
population,人口,名詞
enhance,向上させる,動詞
sufficient,十分な,形容詞
unexpectedly,予期せず,副詞
society,社会,名詞
establish,設立する,動詞
unique,独特の,形容詞
essentially,本質的に,副詞
tradition,伝統,名詞
expand,拡大する,動詞
valuable,価値のある,形容詞
frequently,頻繁に,副詞
university,大学,名詞
implement,実行する,動詞
visible,目に見える,形容詞
gradually,徐々に,副詞
community,コミュニティ,名詞
improve,改善する,動詞
vital,不可欠な,形容詞
immediately,直ちに,副詞
environment,環境,名詞
investigate,調査する,動詞
adequate,適切な,形容詞
naturally,自然に,副詞
government,政府,名詞
maintain,維持する,動詞
apparent,明白な,形容詞
particularly,特に,副詞
industry,産業,名詞
observe,観察する,動詞
consistent,一貫した,形容詞
relatively,比較的,副詞
population,人口,名詞